time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
11	0.0	0.0	0.0	0.0		B>A	phoneDialog580-phoneDialog549-condA
12	0.19050019050028574	0.19050019050028574	0.0	0.0	0.41796167486547	A>B	phoneDialog580-phoneDialog549-condA
13	0.0	0.0	0.0	0.0	0.36309769054904906	B>A	phoneDialog580-phoneDialog549-condA
14	0.0	0.0	0.0	0.0	0.21740624522687346	A>B	phoneDialog580-phoneDialog549-condA
15	0.21128856368212914	0.14744195615489714	0.0	0.0	0.45973740743923086	B>A	phoneDialog580-phoneDialog549-condA
16	0.2258769757263128	0.19702760155977517	0.0	0.0	0.5050583115311371	A>B	phoneDialog580-phoneDialog549-condA
17	0.29496308640500796	0.3740878118331298	0.0	0.0	0.4532167167605168	B>A	phoneDialog580-phoneDialog549-condA
18	0.0	0.0	0.0	0.0	0.2717457331333005	A>B	phoneDialog580-phoneDialog549-condA
19	0.0	0.0839181358296689	0.0	0.12309149097933272	0.48530567362210886	B>A	phoneDialog580-phoneDialog549-condA
20	0.5048634383058966	0.5594611627602135	0.035349816082013465	0.07069963216402693	0.6706396042773197	A>B	phoneDialog580-phoneDialog549-condA
21	0.0808745799025788	0.4975185951049946	0.0	0.0	0.48745138106990527	B>A	phoneDialog580-phoneDialog549-condA
22	0.1956559480312316	0.482289428438469	0.0	0.0	0.5062287605848497	A>B	phoneDialog580-phoneDialog549-condA
23	0.6121637230282609	0.6939418453590271	0.06048884885927481	0.06617222226472869	0.7325144899591315	B>A	phoneDialog580-phoneDialog549-condA
24	0.25736859583025085	0.2556364322192379	0.0	0.0	0.4551797782653231	A>B	phoneDialog580-phoneDialog549-condA
25	0.2899103782969038	0.2795530723408051	0.0	0.0	0.436889415687145	B>A	phoneDialog580-phoneDialog549-condA
26	0.0	0.0	0.0	0.0	0.6399954447145814	A>B	phoneDialog580-phoneDialog549-condA
27	0.0	0.0	0.0	0.0	0.3453391438092872	B>A	phoneDialog580-phoneDialog549-condA
28	0.09428090415820634	0.09523809523809522	0.0	0.0	0.4083451732618534	A>B	phoneDialog580-phoneDialog549-condA
29	0.0	0.0	0.0	0.0	0.5503129223462921	B>A	phoneDialog580-phoneDialog549-condA
